sol-sniper-bot  | {"level":"info","mint":"sYbjWZQcy9Fb6QLzT5sdn5fSrRE16ww85cXxtffpump","buy_sol":0.1,"tip_sol":0.001,"time":1776067938438,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"4YPRWtzDvPRcriLq6Y7c1sqRPqciHCA2B3ZfxQxFzFyu","buy_sol":0.1,"tip_sol":0.001,"time":1776067952046,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"2njJ9ej8184FPKrNmF415nsoqYFgxxmaHKgfnvGmpump","buy_sol":0.1,"tip_sol":0.001016946,"time":1776067975538,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"AmTe5rZzSnP75k6D2jtUvHz3YiFY7mFyErqZnvApump","buy_sol":0.1,"tip_sol":0.001,"time":1776067988624,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"8mxdN4YMQdZEioTgLZ6ky14Eh9PGLD4gCPUJ2jhdpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068007110,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3xE7NR4FxpDUUUe26gE25xPnoQssn2Kz1FwKDGKWpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068016266,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3aJjxa28V3cthCtA5VsnzfUFCuqsZDwXq2z8eiB4pump","buy_sol":0.1,"tip_sol":0.001,"time":1776068076039,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"34wPeUt6byon7Zu2qtrsTCQziRR3Z7wqXf6WcuaFpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068086948,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"4MrDFc4a323eRzUfuGfjdtntp6EC6VMa8QXNJgQbpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068091391,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3kmb7daAZAGeFNfkp2kmhiabQWp2LdNMUpG1NtV4pump","buy_sol":0.1,"tip_sol":0.001,"time":1776068144711,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"Cm7uWdqAYJwYCUAVyNS34nqTSk5cJYE2QGiRmTZFpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068150528,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"9bP3nJM91bFQobK2fVRCZM6Ys1EpZf8NzgL3Gucmpump","buy_sol":0.1,"tip_sol":0.001,"time":1776068153802,"message":"executor: [SIM] bundle skipped — simulation mode"}
