sol-sniper-bot  | {"level":"info","mint":"4YPRWtzDvPRcriLq6Y7c1sqRPqciHCA2B3ZfxQxFzFyu","trigger":"stop_loss","time":1776067978840,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"2njJ9ej8184FPKrNmF415nsoqYFgxxmaHKgfnvGmpump","trigger":"stop_loss","time":1776067988834,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"AmTe5rZzSnP75k6D2jtUvHz3YiFY7mFyErqZnvApump","trigger":"stop_loss","time":1776067998885,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"8mxdN4YMQdZEioTgLZ6ky14Eh9PGLD4gCPUJ2jhdpump","trigger":"stop_loss","time":1776068008846,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3xE7NR4FxpDUUUe26gE25xPnoQssn2Kz1FwKDGKWpump","trigger":"stop_loss","time":1776068018849,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"4MrDFc4a323eRzUfuGfjdtntp6EC6VMa8QXNJgQbpump","trigger":"stop_loss","time":1776068098851,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"34wPeUt6byon7Zu2qtrsTCQziRR3Z7wqXf6WcuaFpump","trigger":"stop_loss","time":1776068118870,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"Cm7uWdqAYJwYCUAVyNS34nqTSk5cJYE2QGiRmTZFpump","trigger":"stop_loss","time":1776068158837,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"9bP3nJM91bFQobK2fVRCZM6Ys1EpZf8NzgL3Gucmpump","trigger":"stop_loss","time":1776068158845,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"ScNDHmc1YtzGSU7Tf7RUuqostJHgwRE2SqFi83Lpump","trigger":"stop_loss","time":1776068188848,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"HUUEic978413y58sGYoLaVtSSnywzRMu3PyDdMXupump","trigger":"stop_loss","time":1776068208866,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"3aJjxa28V3cthCtA5VsnzfUFCuqsZDwXq2z8eiB4pump","trigger":"stop_loss","time":1776068218852,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"A51URm1MWuCUhd3px9NjZGNGzJhyFu2di7d8nzM3pump","trigger":"stop_loss","time":1776068228843,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"sYbjWZQcy9Fb6QLzT5sdn5fSrRE16ww85cXxtffpump","trigger":"timeout","time":1776068238857,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"AezuB3ZBtRCQdiZq9hHMrth62UeejgSDwtKH4obcpump","trigger":"stop_loss","time":1776068268856,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"htCBZ18CmQFhiSB53saXVpe9CzzW2Qjat1Ym1Ripump","trigger":"stop_loss","time":1776068378870,"message":"executor: [SIM] sell skipped"}
